id,name,ingredient,category,symptoms,instructions,dosage,frequency_hours,safety,urgency
1,Panadol,Paracetamol,Over-the-Counter (OTC),Mild-to-moderate pain and fever,Swallow tablets with water. Can be taken with or without food.,500 mg to 1000 mg,4,Do not combine with other products containing paracetamol to prevent accidental overdose.,Low
2,Advil,Ibuprofen,Over-the-Counter (OTC),"Pain, inflammation, swelling, menstrual cramps, and fever",Take with food or milk if it causes stomach irritation.,200 mg to 400 mg,6,"Avoid or seek medical advice if you have stomach ulcers, kidney disease, or certain heart conditions.",Medium
3,Anadin,Aspirin,Over-the-Counter (OTC),Mild pain and fever,Swallow tablets as directed. Enteric-coated tablets should be swallowed whole.,325 mg to 650 mg,4,Aspirin can increase bleeding risk and should not be given to children or teenagers with viral illnesses.,Medium
4,Amoxil,Amoxicillin,Prescription,Certain bacterial infections,Take exactly as prescribed and complete the prescribed course.,250 mg to 500 mg,8,Do not take if you have a known serious penicillin allergy.,High
5,Calpol,Paracetamol,Over-the-Counter (OTC),Pain and fever,Follow the product instructions and use the appropriate formulation.,500 mg to 1000 mg,4,Do not combine with other paracetamol-containing medicines.,Low
6,Nurofen,Ibuprofen,Over-the-Counter (OTC),"Pain, inflammation, and fever",Take with water. Food may help reduce stomach irritation.,200 mg to 400 mg,6,"NSAID precautions apply, particularly with stomach, kidney, or heart conditions.",Medium
7,Tylenol,Paracetamol,Over-the-Counter (OTC),Mild-to-moderate pain and fever,Take with water and follow the product instructions.,500 mg to 1000 mg,6,Do not combine with other products containing paracetamol.,Low
8,Panadol Extra,"Paracetamol, Caffeine",Over-the-Counter (OTC),"Headache, pain, and fever",Swallow tablets with water and follow the product instructions.,500 mg Paracetamol + 65 mg Caffeine,4,Avoid combining with other paracetamol-containing medicines. Caffeine may affect sleep.,Medium
9,Clarityn,Loratadine,Over-the-Counter (OTC),"Hay fever, sneezing, runny nose, and itchy eyes",Take once daily with or without food.,10 mg,24,Seek medical advice if allergy symptoms are severe or persistent.,Low
10,Loratadine,Loratadine,Over-the-Counter (OTC),Allergy symptoms such as sneezing and itchy eyes,Take once daily as directed.,10 mg,24,Do not exceed the recommended dose.,Low
11,Zyrtec,Cetirizine,Over-the-Counter (OTC),"Sneezing, runny nose, and itchy eyes",Take once daily with or without food.,10 mg,24,May cause drowsiness in some people.,Low
12,Cetirizine,Cetirizine,Over-the-Counter (OTC),Allergy symptoms and hay fever,Take according to the product instructions.,10 mg,24,May cause drowsiness. Avoid driving if affected.,Low
13,Gaviscon,"Sodium alginate, Calcium carbonate",Over-the-Counter (OTC),"Heartburn, acid reflux, and indigestion","Take according to the product instructions, commonly after meals and before bedtime.",Product-dependent,8,Seek medical advice for persistent or severe reflux symptoms.,Low
14,Nexium,Esomeprazole,Prescription,Frequent heartburn and acid reflux,Usually taken before meals as directed by a healthcare professional.,20 mg,24,Long-term use should generally be monitored by a healthcare professional.,Medium
15,Losec,Omeprazole,Prescription,Frequent heartburn and acid reflux,Usually taken before meals as directed by a healthcare professional.,20 mg,24,Long-term use should generally be monitored by a healthcare professional.,Medium
16,Imodium,Loperamide,Over-the-Counter (OTC),Short-term relief of uncomplicated diarrhea,Follow package directions and maintain adequate fluid intake.,Product-dependent,6,Do not use for bloody diarrhea or high fever without medical advice.,Medium
17,Buscopan,Hyoscine butylbromide,Over-the-Counter (OTC),Abdominal cramps and spasms,Take as directed for abdominal cramps.,10 mg to 20 mg,6,Seek medical advice for severe or unexplained abdominal pain.,Medium
18,Sudafed,Pseudoephedrine,Over-the-Counter (OTC),Nasal congestion from colds or allergies,Follow package directions and do not exceed the recommended amount.,Product-dependent,6,May raise blood pressure or cause palpitations in some people.,Medium
19,Benadryl,Diphenhydramine,Over-the-Counter (OTC),Allergy symptoms and some cold symptoms,Follow package instructions. May cause drowsiness.,Product-dependent,6,May cause significant drowsiness. Avoid combining with other sedating medicines.,Medium
20,Strepsils,Amylmetacresol,Over-the-Counter (OTC),Sore throat and minor mouth irritation,Allow the lozenge to dissolve slowly in the mouth.,Product-dependent,3,Do not exceed the recommended amount.,Low
21,Canesten,Clotrimazole,Over-the-Counter (OTC),Fungal skin infections such as athlete’s foot,Apply to the affected area as directed and keep the area clean and dry.,Product-dependent,12,For external use only. Stop if severe irritation occurs.,Low
22,Dulcolax,Bisacodyl,Over-the-Counter (OTC),Occasional constipation,Take with water and follow package instructions.,5 mg to 10 mg,24,Overuse can cause abdominal cramps and electrolyte problems.,Medium
23,Senokot,Senna,Supplement,Occasional constipation,Take according to package instructions and maintain adequate fluid intake.,7.5 mg to 15 mg,24,Long-term or excessive use may cause bowel or electrolyte problems.,Medium
24,Telfast,Fexofenadine,Over-the-Counter (OTC),Hay fever and hives,Take according to the product instructions.,120 mg to 180 mg,24,Follow age restrictions and product instructions.,Low
25,Aerius,Desloratadine,Over-the-Counter (OTC),Hay fever and hives,Take once daily as directed.,5 mg,24,Seek medical advice if symptoms persist despite treatment.,Low
26,Augmentin,"Amoxicillin, Clavulanic acid",Prescription,Certain bacterial infections,Take exactly as prescribed and complete the prescribed course.,Product-dependent,8,Do not take if you have a serious penicillin allergy.,High
27,Cipro,Ciprofloxacin,Prescription,Certain bacterial infections,Take exactly as prescribed.,Product-dependent,12,Prescription medicine with important drug interactions and safety precautions.,High
28,Flagyl,Metronidazole,Prescription,Certain bacterial and parasitic infections,Take exactly as prescribed and complete the prescribed course.,Product-dependent,8,Prescription medicine. Follow medical advice regarding interactions.,High
29,Vicks,"Menthol, Camphor",First Aid,Minor cold symptoms and nasal congestion,Use according to the specific product instructions.,Product-dependent,6,Do not ingest products intended only for external use.,Low
30,Voltaren,Diclofenac,Over-the-Counter (OTC),"Pain, inflammation, and swelling",Take with food or milk to reduce stomach irritation.,25–50 mg,8,"Avoid if you have stomach ulcers, kidney problems, or certain heart conditions",Medium
31,Motrin,Ibuprofen,Over-the-Counter (OTC),"Pain, inflammation, and swelling",Take with food or milk to reduce stomach irritation,200–400 mg,6,Avoid combining with other NSAIDs,Medium
32,Claritin,Loratadine,Over-the-Counter (OTC),"Sneezing, runny nose, itchy eyes, and allergies",Take once daily with or without food,10mg,24,Do not exceed the recommended dose,Low
33,a,a,a,a,a,a,a,a,a
34,aa,a,a,a,a,a,a,a,a
